country,region,hdi
Afghanistan,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),.531
Afghanistan,Central Highlands (Bamyan Daikundi),.459
Afghanistan,East (Nangarhar Kunar Laghman Nooristan),.442
Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),.481
Afghanistan,North East (Baghlan Takhar Badakhshan Kunduz),.429
Afghanistan,South (Uruzgan Helmand Zabul Nimroz Kandahar),.393
Afghanistan,South East (Ghazni Paktya Paktika Khost),.461
Afghanistan,West (Ghor Herat Badghis Farah),.433
Angola, Cabinda,.688
Angola, Zaire,.622
Angola, Uige,.545
Angola, Luanda,.71
Angola, Kuanza Norte,.546
Angola, Kuanza Sul,.454
Angola, Malange,.571
Angola, Lunda Norte,.526
Angola, Benguela,.534
Angola, Huambo,.539
Angola, Bie,.504
Angola, Moxico,.508
Angola, Kuando Kubango,.511
Angola, Namibe,.587
Angola, Huila,.52
Angola, Cunene,.522
Angola, Lunda Sul,.586
Angola, Bengo,.584
Albania, Berat,.776
Albania, Diber,.749
Albania, Durres,.796
Albania, Elbasan,.779
Albania, Fier,.762
Albania, Gjirokaster,.789
Albania, Korce,.785
Albania, Kukes,.745
Albania, Lezhe,.764
Albania, Shkoder,.778
Albania, Tirana,.814
Albania, Vlore,.797
Argentina urban,Gran Buenos Aires,.851
Argentina urban,NOA,.851
Argentina urban,NEA,.837
Argentina urban,Cuyo,.849
Argentina urban,Pampeana,.85
Argentina urban,Patagonia,.849
Armenia,Aragatsotn,.77
Armenia,Ararat,.764
Armenia,Armavir,.754
Armenia,Gegharkunik,.748
Armenia,Lori,.765
Armenia,Kotayk,.792
Armenia,Shirak,.782
Armenia,Syunik,.779
Armenia,Vayots Dzor,.782
Armenia,Tavush,.773
Armenia,Yerevan,.821
Australia,New South Wales,.946
Australia,Victoria,.942
Australia,Queensland,.935
Australia,South Australia,.933
Australia,Western Australia,.969
Australia,Tasmania,.923
Australia,Northern Territory,.932
Australia,Australian Capital Territory,.976
Austria,Burgenland,.89
Austria,Niederosterreich,.893
Austria,Wien,.948
Austria,Karnten,.913
Austria,Steiermark,.923
Austria,Oberosterreich,.917
Austria,Salzburg,.945
Austria,Tirol,.938
Austria,Vorarlberg,.917
Azerbaijan,Baku,.83
Azerbaijan,Absheron,.805
Azerbaijan,Ganja Gazakh,.724
Azerbaijan,Shaki Zaqatala,.766
Azerbaijan,Lankaran,.718
Azerbaijan,Guba Khachmaz,.738
Azerbaijan,Aran,.712
Azerbaijan,Yukhari Karabakh,.706
Azerbaijan,Dakhlik Shirvan,.727
Burundi,"North (Kayanza, Kirundo, Muyinga, Ngozi)",.372
Burundi,"South (Bururi, Makamba)",.452
Burundi,"East (Cankuzo, Rutana, Ruyigi )",.403
Burundi,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",.469
Burundi,"Middle (Gitega, Karuzi, Muramvya, Mwaro)",.422
Belgium,Bruxelles - Brussel,.96
Belgium,Prov. Antwerpen,.957
Belgium,Prov. Limburg,.936
Belgium,Prov. Oost-Vlaanderen,.946
Belgium,Prov. Vlaams-Brabant,.947
Belgium,Prov. West-Vlaanderen,.938
Belgium,Prov. Brabant Wallon,.951
Belgium,Prov. Hainaut,.894
Belgium,Prov. Liege,.906
Belgium,Prov. Luxembourg,.901
Belgium,Prov. Namur,.911
Benin,Atacora (incl Donga),.457
Benin,Atlantique (incl Littoral (Cotonou)),.564
Benin,Borgou (incl Alibori),.441
Benin,Mono (incl Couffo),.496
Benin,Queme (incl Plateau),.518
Benin,Zou (incl Collines),.507
Burkina Faso,Boucle de Mouhoun,.4
Burkina Faso,Cascades,.453
Burkina Faso,Centre (incl Ouagadougou),.54
Burkina Faso,Centre-Est,.4
Burkina Faso,Centre-Nord,.39
Burkina Faso,Centre-Ouest,.429
Burkina Faso,Centre-Sud,.419
Burkina Faso,Est,.375
Burkina Faso,Hauts Bassins,.469
Burkina Faso,Nord,.413
Burkina Faso,Plateau Central,.417
Burkina Faso,Sahel,.305
Burkina Faso,Sud-Ouest,.365
Bangladesh," Barisal, Jhalokati, Pirojpur",.677
Bangladesh," Barguna, Bhola, Patuakhali",.64
Bangladesh, Chittagong,.695
Bangladesh," Bandarban, Cox s Bazar",.606
Bangladesh," Khagrachhari, Rangamati (Chattagram)",.627
Bangladesh," Feni, Lakshmipur, Noakhali",.666
Bangladesh," Brahmanbaria, Chandpur, Comilla",.678
Bangladesh, Dhaka,.756
Bangladesh," Gazipur, Narayanganj, Narsingdi",.678
Bangladesh," Jamalpur, Sherpur, Tangail",.649
Bangladesh," Kishoreganj, Mymensingh, Netrakona",.629
Bangladesh," Faridpur, Manikganj, Rajbari",.664
Bangladesh," Gopalganj, Madaripur, Munshiganj, Shariatpur",.669
Bangladesh," Bagerhat, Khulna, Satkhira",.688
Bangladesh," Jessore, Magura, Narail",.701
Bangladesh," Chuadanga, Jhenaidah, Kushtia, Meherpur",.682
Bangladesh," Naogaon, Nawabganj, Rajshahi",.681
Bangladesh," Natore, Pabna, Sirajganj",.649
Bangladesh," Bogra, Gaibandha, Jaypurhat",.665
Bangladesh," Dinajpur, Nilphamari, Panchagarh, Thakurgaon",.668
Bangladesh," Kurigram, Lalmonirhat, Rangpur",.641
Bangladesh," Maulvibazar, Sylhet",.669
Bangladesh," Habiganj, Sunamganj",.608
Bulgaria,Severozapaden,.743
Bulgaria,Severen tsentralen,.768
Bulgaria,Severoiztochen,.777
Bulgaria,Yugoiztochen,.766
Bulgaria,Yugozapaden,.856
Bulgaria,Yuzhen tsentralen,.772
Bosnia and Herzegovina,Western Bosnia,.773
Bosnia and Herzegovina,Northern Bosnia,.772
Bosnia and Herzegovina,Central Bosnia,.781
Bosnia and Herzegovina,Western herzegovina,.802
Bosnia and Herzegovina,Republica Srpska,.776
Belarus,Brest region,.793
Belarus,Vitebsk region,.793
Belarus,Gomel region,.801
Belarus,Grodno region,.798
Belarus,Minsk region,.811
Belarus,Mogilev region,.79
Belize,"Corozal, Orange Walk",.672
Belize,Belize,.73
Belize,Cayo,.626
Belize,"Stann Creek, Toledo",.711
Bolivia,Chuquisaca,.671
Bolivia,La Paz,.699
Bolivia,Cochabamba,.688
Bolivia,Oruro,.707
Bolivia,Potosi,.612
Bolivia,Tarija,.722
Bolivia,Santa Cruz,.758
Bolivia,Beni,.706
Bolivia,Pando,.724
Brazil,Rondonia,.733
Brazil,Acre,.714
Brazil,Amazonas,.736
Brazil,Roraima,.761
Brazil,Para,.717
Brazil,Amapa,.747
Brazil,Tocantins,.748
Brazil,Maranhao,.703
Brazil,Piaui,.712
Brazil,Ceara,.732
Brazil,Rio Grande do Norte,.749
Brazil,Paraiba,.734
Brazil,Pernambuco,.735
Brazil,Alagoas,.717
Brazil,Sergipe,.745
Brazil,Bahia,.733
Brazil,Minas Gerais,.76
Brazil,Espirito Santo,.762
Brazil,Rio de Janeiro,.789
Brazil,Sao Paulo,.786
Brazil,Parana,.769
Brazil,Santa Catarina,.775
Brazil,Rio Grande do Sul,.775
Brazil,Mato Grosso do Sul,.763
Brazil,Mato Grosso,.757
Brazil,Goias,.767
Brazil,Distrito Federal,.822
Barbados,St Michael,.801
Barbados,Christ Church and St. Philip,.815
Barbados,"St. James, St. George, and St. Thomas",.822
Barbados,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John",.801
Bhutan,Bumthang,.687
Bhutan,Chukha,.718
Bhutan,Dagana,.626
Bhutan,Gasa,.557
Bhutan,Haa,.729
Bhutan,Lhuntse,.618
Bhutan,Mongar,.62
Bhutan,Paro,.753
Bhutan,Pemagatshel,.622
Bhutan,Punakha,.681
Bhutan,Samdrup jongkhar,.633
Bhutan,Samtse,.641
Bhutan,Sarpang,.713
Bhutan,Thimphu,.857
Bhutan,Trashigang,.592
Bhutan,Trashiyangtse,.605
Bhutan,Trongsa,.637
Bhutan,Tsirang,.651
Bhutan,Wangdi,.623
Bhutan,Zhemgang,.62
Botswana,Central,.685
Botswana,Ghanzi,.658
Botswana,Kgalagadi,.675
Botswana,Kgatleng,.722
Botswana,Kweneng,.693
Botswana,North-East,.726
Botswana,"North-West, Ngamiland",.672
Botswana,South-East,.787
Botswana,Southern,.691
Botswana,Chobe,.683
Central African Republic CAR,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)",.385
Central African Republic CAR,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)",.367
Central African Republic CAR,"RS III (Ouham Pende, Ouham)",.346
Central African Republic CAR,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)",.371
Central African Republic CAR,"RS V (Basse Kotto, Mbornou, Houte Mbormou)",.326
Central African Republic CAR,Bangui,.525
Canada,Newfoundland and Labrador,.901
Canada,"Prince Edward Island, Yukon Territory, Northwest Territories, Nunavut",.929
Canada,Nova Scotia,.909
Canada,New Brunswick,.904
Canada,Quebec,.926
Canada,Ontario,.942
Canada,Manitoba,.907
Canada,Saskatchewan,.92
Canada,Alberta,.947
Canada,British Columbia,.946
Switzerland,Lake Geneva region,.973
Switzerland,Espace Mittelland,.957
Switzerland,Northwestern Switzerland,.964
Switzerland,Zurich,.994
Switzerland,Eastern Switzerland,.949
Switzerland,Central Switzerland,.961
Switzerland,Ticino,.964
Chili,Tarapaca (incl Arica and Parinacota),.887
Chili,Antofagasta,.881
Chili,Atacama,.864
Chili,Coquimbo,.838
Chili,Valparaiso (former Aconcagua),.876
Chili,OHiggins,.829
Chili,Maule,.798
Chili,Bio Bio,.834
Chili,Arbucania,.795
Chili,Los Lagos (incl Los Rios),.803
Chili,Aisen,.816
Chili,Magallanes and La Antartica Chilena,.872
Chili,Region Metropolitana,.89
China,Beijing,.905
China,Tianjin,.858
China,Hebei,.762
China,Shanxi,.791
China,Inner Mongolia,.798
China,Liaoning,.794
China,Jilin,.777
China,Heilongjiang,.769
China,Shanghai,.895
China,Jiangsu,.827
China,Zhejiang,.814
China,Anhui,.767
China,Fujian,.804
China,Jiangxi,.768
China,Shandong,.789
China,Henan,.76
China,Hubei,.794
China,Hunan,.781
China,Guangdong,.813
China,Guangxi,.751
China,Hainan,.781
China,Chongqing,.795
China,Sichuan,.762
China,Guizhou,.725
China,Yunnan,.729
China,Tibet,.648
China,Shaanxi,.792
China,Gansu,.722
China,Qinghai,.719
China,Ningxia,.764
China,Xinjiang,.762
Cote d'Ivoire,Abidjan,.569
Cote d'Ivoire,Yamoussoukro,.619
Cote d'Ivoire,Bas Sassandra,.52
