country,region,code,hdi,A(House School),A(House Hospital),A(House Pharmacy),A(House Restaurant),A(School Hospital),A(Police Hospital),A(House Place of Worship),A(Bank Slot Machine),A(Fast-Food Place Toilet),A(House Police),A(University Library),A(House Library),D(School),D(Hospital),D(Pharmacy),D(Police),D(Library),D(Toilet),D(Restaurant),D(Place of Worship),D(Post Box),D(Vending Machine),D(Bench),D(Tree)
Afghanistan,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),AFGr101,0.531,2.1308759255053764,16.41711226424257,30.94268336334127,24.817564710134945,13.099145819677881,7.2046207473499635,5.95133855901975,,6.536936611904596,22.85326080310669,9.586502144776986,44.85430381303761,0.01056001173525016,0.003032082577448066,0.0020213883849653775,0.0008364365730891217,6.97030477574268e-05,0.00017425761939356702,0.0034154493401139133,0.017948534797537403,0.0,3.48515238787134e-05,0.0001394060955148536,0.0067611956324704
Afghanistan,Central Highlands (Bamyan Daikundi),AFGr102,0.459,2.6766842944478166,16.73297708514969,56.426674141419674,82.39665937782455,33.52204115525359,21.187901005746177,1.9377385205855227,,,32.730725871389744,1.568152250578437,184.94785331686424,0.002835922261595426,0.00021814786627657125,3.116398089665303e-05,0.0001558199044832652,3.116398089665303e-05,0.0010595753504862033,0.0003428037898631834,0.0032410540132519158,0.0,0.0,0.0,0.0
Afghanistan,East (Nangarhar Kunar Laghman Nooristan),AFGr103,0.442,8.06523628156494,30.849458615576676,48.585135797654715,35.65807043782958,8.803621237748642,4.55668058538584,11.975147031072655,,,31.88590235625022,3.429584339988458,51.24271817467224,0.004247588827022125,0.0008259200496987465,7.865905235226157e-05,0.0009439086282271389,7.865905235226157e-05,3.9329526176130785e-05,0.0006686019449942234,0.006686019449942234,0.0,3.9329526176130785e-05,0.00015731810470452314,0.0021631239396871934
Afghanistan,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),AFGr104,0.481,14.626555238850976,71.29560055365133,100.9366554875598,87.41839707520478,74.19499023711629,25.003783716503907,14.831199981929215,,74.5571932212946,53.70363950372997,50.03166774956599,101.8892536246774,0.0026893040810218216,5.221949671887032e-05,2.610974835943516e-05,7.832924507830548e-05,1.305487417971758e-05,3.916462253915274e-05,0.0004177559737509626,0.004660590082159176,0.0,1.305487417971758e-05,0.0,2.8695918934437215
Afghanistan,North East (Baghlan Takhar Badakhshan Kunduz),AFGr105,0.429,26.147251524265368,46.53611932361071,160.2898058922051,64.26001330243265,55.962783534614104,46.74806417288905,28.172831313743437,,42.836837627582426,48.20064571936197,253.8289967797645,173.66553881311842,0.002266202988278006,0.0001996137347187881,1.1741984395222829e-05,0.0002700656410901251,1.1741984395222829e-05,0.0002818076254853479,5.870992197611415e-05,0.0016203938465407504,0.0,2.3483968790445658e-05,2.3483968790445658e-05,0.0009745847048034949
Afghanistan,South (Uruzgan Helmand Zabul Nimroz Kandahar),AFGr106,0.393,2.672233842007361,119.73190348922613,,115.65539341633968,62.964125972425855,14.35327956970906,2.626216210019939,,112.198966765076,144.26295646163183,,,0.0007254240716257541,5.999747960814507e-05,0.0,0.0002290812857765539,0.0,5.4543163280131883e-05,0.00010908632656026377,0.005023425338100147,0.0,7.090611226417144e-05,1.0908632656026376e-05,0.0014235765616114422
Afghanistan,South East (Ghazni Paktya Paktika Khost),AFGr107,0.461,8.71542741195287,18.373270975046022,84.16855098620621,52.09699967429377,17.691052046681392,27.975690736564527,13.53771214552784,,,83.92629318698405,38.915861975568994,59.389754316638275,0.004384758473088351,0.0002859625091144577,3.8128334548594365e-05,0.00011438500364578308,7.625666909718873e-05,0.0,0.0002668983418401605,0.005414223505900399,0.0,0.0,0.0,0.879048753017843
Afghanistan,West (Ghor Herat Badghis Farah),AFGr108,0.433,6.3723012330263895,73.84310881247855,98.37356871716241,99.50980013858833,81.25337999790362,32.34383770390821,16.00300688397389,,,71.3252222153177,1.8093291361855846,99.05629980491538,0.001172929466839634,8.734581136039829e-05,1.2477973051485469e-05,1.2477973051485469e-05,6.2389865257427344e-06,0.0,2.4955946102970938e-05,0.003631090157982272,0.0,0.0,1.8716959577228205e-05,2.4955946102970938e-05
Angola, Cabinda,AGOr201,0.688,6.69312018236643,4.871413608466492,19.658017658802027,16.585431540874023,3.398423782126975,16.10726939952801,12.069531324481199,,,5.913960387054542,,,0.0019783718108705426,0.0026849331718957364,0.00014131227220503875,0.0007065613610251938,0.0,0.0,0.00113049817764031,0.00113049817764031,0.0,0.0,0.0,0.0012718104498453486
Angola, Zaire,AGOr202,0.622,1.4169912643829934,1.3491028151556523,,1.7569127897710564,2.2113798340779915,0.2697376792512963,1.9699721344925394,,,206.89702201921418,,2.4384829139100046,0.0002449693666264896,0.0001088752740562176,0.0,2.72188185140544e-05,2.72188185140544e-05,0.0,0.000136094092570272,0.00019053172959838078,0.0,2.72188185140544e-05,0.0,0.0002449693666264896
